Node1	Node2	Interaction Type	Interaction direction	Instances
Lumbriculidae	susSoils	biological-physchem	positive	1
Lumbriculidae	nh3d	biological-physchem	positive	1
Naididae	Hydrophilidae	biological-biological	positive	1
Naididae	Leptophlebiidae	biological-biological	positive	1
Rhyacophilidae	Limnephilidae	biological-biological	positive	1
Dytiscidae	Perlodidae	biological-biological	positive	1
Dytiscidae	Nemouridae	biological-biological	positive	1
Hydrophilidae	Leptophlebiidae	biological-biological	positive	1
Perlodidae	Nemouridae	biological-biological	positive	1
Chironomidae	pH	biological-physchem	positive	1
Chironomidae	nitrate	biological-physchem	positive	1
Chironomidae	SRP	biological-physchem	positive	1
Tipulidae	Paediciidae	biological-biological	positive	1
ammonia	nh3d	physchem-physchem	positive	5
susSoils	nh3d	physchem-physchem	positive	1
nitrate	SRP	physchem-physchem	positive	4
SRP	PO4yr	physchem-physchem	positive	1
PO4yr	no3d	physchem-physchem	positive	2
PO4yr	no3yr	physchem-physchem	positive	2
no3d	no3yr	physchem-physchem	positive	2
Glossiphonidae	Gammaridae	biological-biological	positive	1
Glossiphonidae	Physidae	biological-biological	positive	1
Gammaridae	Physidae	biological-biological	positive	1
Rhyacophilidae	Hydropsychidae	biological-biological	positive	2
Rhyacophilidae	Simulidae	biological-biological	positive	2
Hydropsychidae	Simulidae	biological-biological	positive	2
Ephemerellidae	Lymnaeidae	biological-biological	positive	2
Leptophlebiidae	Sphaeridae	biological-biological	positive	2
Leptophlebiidae	Viviparidae	biological-biological	positive	2
Tipulidae	TOM	biological-physchem	positive	2
Sphaeridae	Viviparidae	biological-biological	positive	2
Ephemerellidae	SRP	biological-physchem	positive	1
dissOmgl	temp	physchem-physchem	negative	2
temp	nitrate	physchem-physchem	positive	2
temp	SRP	physchem-physchem	positive	2
Glossiphonidae	Naididae	biological-biological	positive	1
Polycentropodidae	Limnephilidae	biological-biological	positive	1
Psychomiidae	no3d	biological-physchem	positive	1
Psychomiidae	no3yr	biological-physchem	positive	1
Paediciidae	no3d	biological-physchem	positive	1
Paediciidae	no3yr	biological-physchem	positive	1
Erpobdellidae	Glossiphonidae	biological-biological	positive	1
Erpobdellidae	Polycentropodidae	biological-biological	positive	1
Glossiphonidae	Lumbricidae	biological-biological	positive	1
Glossiphonidae	Asselidae	biological-biological	positive	1
Glossiphonidae	Polycentropodidae	biological-biological	positive	1
Lumbricidae	Asselidae	biological-biological	positive	1
Lumbricidae	Polycentropodidae	biological-biological	positive	1
Asselidae	Polycentropodidae	biological-biological	positive	1
Baetidae	pH	biological-physchem	positive	1
Chironomidae	nh3d	biological-physchem	positive	1
