Variable	Variable Type
Erpobdellidae	biological
Glossiphonidae	biological
Lumbricidae	biological
Lumbriculidae	biological
Naididae	biological
Gammaridae	biological
Asselidae	biological
Rhyacophilidae	biological
Hydropsychidae	biological
Polycentropodidae	biological
Limnephilidae	biological
Haliplidae	biological
Dytiscidae	biological
Hydrophilidae	biological
Baetidae	biological
Ephemerellidae	biological
Heptageniidae	biological
Leptophlebiidae	biological
Caeniidae	biological
Perlodidae	biological
Nemouridae	biological
Leuctridae	biological
Psychomiidae	biological
Hydroptilidae	biological
Chironomidae	biological
Simulidae	biological
Tipulidae	biological
Paediciidae	biological
Sphaeridae	biological
Viviparidae	biological
Physidae	biological
Lymnaeidae	biological
dissOperc	physchem
dissOmgl	physchem
pH	physchem
temp	physchem
BOD	physchem
ammonia	physchem
susSoils	physchem
TOM	physchem
nitrate	physchem
SRP	physchem
PO4yr	physchem
no3d	physchem
no3yr	physchem
nh3d	physchem
conductivity	physchem
