"","Erpobdellidae","Glossiphonidae","Lumbricidae","Lumbriculidae","Naididae","Gammaridae","Asselidae","Rhyacophilidae","Hydropsychidae","Polycentropodidae","Baetidae","Heptageniidae","Chironomidae","Tipulidae","Physidae","dissOperc","dissOmgl","pH","temp","BOD","ammonia","susSoils","TOM","nitrate","SRP","PO4yr","no3d","no3yr","nh3d","conductivity"
"Erpobdellidae",NA,0.00057085886029995,0.00235048178299113,0.468522792048562,0.555066607094626,0.106787073917566,0.0114033627088674,0.447394991583737,0.00160621270206018,0.00057085886029995,0.608154767758047,0.620343378585098,0.639642208034658,0.22222723500038,0.649262269346193,0.505522386511551,0.788199028322351,0.83589920062462,0.90780275370221,0.246430870038378,0.21518082254811,0.63062135947078,0.430824916407024,0.940422867295351,0.870665952309498,0.731191953624917,0.969259463069681,0.969259463303779,0.387634814375904,0.17667147514998
"Glossiphonidae",0.00057085886029995,NA,3.49851266623347e-07,0.667721863784319,0.797998324129694,0.614625217224759,0.000135480810925737,0.653019526115103,0.0770648150856017,0,0.88923581357892,0.775375173682205,0.671660878810522,0.979802052726093,0.786654316597192,0.454216319846842,0.705611463799837,0.638391592328233,0.929617720883776,0.912705542527054,0.798946836531278,0.994992607583884,0.425983812037013,0.75547555190623,0.874120708081565,0.798374529632031,0.663025358487834,0.663025358391304,0.609478751558528,0.683911105643726
"Lumbricidae",0.00235048178299113,3.49851266623347e-07,NA,0.61951023538714,0.744214445506715,0.779072194283555,0.000724827591043642,0.703928535005573,0.12439706929768,3.49851266623347e-07,0.800689298398352,0.707645355166722,0.521000708810649,0.858499882298745,0.48351877203711,0.357097251476952,0.842342757778772,0.69906598035588,0.672163245502219,0.649559282746124,0.975000994063056,0.776504007081684,0.603087313956396,0.914032456366251,0.923077632855075,0.611529148959373,0.650870599708998,0.650870599591368,0.784651525953926,0.814240192686604
"Lumbriculidae",0.468522792048562,0.667721863784319,0.61951023538714,NA,0.672926788716985,0.254375832250942,0.543031724120514,0.494631553801198,0.390304157808902,0.667721863784319,0.963746868606498,0.61022511693441,0.237748594301621,0.818370062850418,0.800135858818115,0.472048903303158,0.406462526726205,0.835424589955669,0.929258479085221,0.32716267605227,0.97183045245942,0.468318322411828,0.235738421300118,0.918258101778049,0.886943403987503,0.2074963301859,0.0166961355722894,0.016696135546632,0.895496725711938,0.31662813846665
"Naididae",0.555066607094626,0.797998324129694,0.744214445506715,0.672926788716985,NA,0.228663789833398,0.643050801928661,0.856755208917614,0.431390264022985,0.797998324129694,0.496223841856546,0.588271457279535,0.202239377653082,0.388732083095428,0.0296152780072481,0.873774167742539,0.0907253462415989,0.677915232612901,0.0756603443882244,0.53182972805368,0.401484134112827,0.736830320009214,0.859265141652524,0.205225218707298,0.144246757830956,0.625507206905674,0.791413174736163,0.791413174654402,0.347975185985615,0.541798658033323
"Gammaridae",0.106787073917566,0.614625217224759,0.779072194283555,0.254375832250942,0.228663789833398,NA,0.243839520681618,0.892178437209425,0.00632024569298384,0.614625217224759,0.419233493540404,0.586700096046442,0.52054627759005,0.0254072617640095,0.470208216910825,0.0676458603379082,0.700619440869891,0.308887779050037,0.432678244570534,0.0941700492441484,0.280132643305627,0.670227229417144,0.91527751076141,0.358844442333675,0.338479224494988,0.412740807264335,0.588686047086936,0.588686047232496,0.811311586115496,0.382656661515562
"Asselidae",0.0114033627088674,0.000135480810925737,0.000724827591043642,0.543031724120514,0.643050801928661,0.243839520681618,NA,0.523950805833335,0.204450220147288,0.000135480810925737,0.834369793711901,0.763293566303246,0.629903585746256,0.775556117109895,0.702118179694442,0.139654926826078,0.982226189008696,0.887301226821172,0.319940817496954,0.680074824617036,0.814672661713634,0.884126673242896,0.778339405296018,0.508421254033543,0.401037367094321,0.94214204695452,0.796109568401651,0.796109568455817,0.938297324651221,0.683911105643726
"Rhyacophilidae",0.447394991583737,0.653019526115103,0.703928535005573,0.494631553801198,0.856755208917614,0.892178437209425,0.523950805833335,NA,0.780672240958292,0.653019526115103,0.195058241834147,0.732285637106119,0.529854866873987,0.645422950707697,0.839109598042633,0.114801454526054,0.811036850614828,0.0442395018736761,0.378517719354758,0.619852124012246,0.465801847612913,0.11132840628672,0.35503340739842,0.1655062130602,0.0949297748767788,0.0255933546398817,0.178703513603421,0.17870351369316,0.398375867352726,0.207590708519099
"Hydropsychidae",0.00160621270206018,0.0770648150856017,0.12439706929768,0.390304157808902,0.431390264022985,0.00632024569298384,0.204450220147288,0.780672240958292,NA,0.0770648150856017,0.513207253925554,0.648541316116576,0.357783715612642,0.00103171947101455,0.59105327059466,0.431784559651131,0.747752299214009,0.814309976935692,0.898452322699591,0.148261103327224,0.172668429012537,0.717557094925009,0.998766867156448,0.961166117793463,0.918243788356994,0.663235663808847,0.657938014318897,0.657938014566764,0.560671660498095,0.552845517278361
"Polycentropodidae",0.00057085886029995,0,3.49851266623347e-07,0.667721863784319,0.797998324129694,0.614625217224759,0.000135480810925737,0.653019526115103,0.0770648150856017,NA,0.88923581357892,0.775375173682205,0.671660878810522,0.979802052726093,0.786654316597192,0.454216319846843,0.705611463799836,0.63839159232823,0.929617720883776,0.912705542527054,0.798946836531278,0.994992607583884,0.425983812037013,0.75547555190623,0.874120708081566,0.798374529632031,0.663025358487834,0.663025358391304,0.609478751558529,0.683911105643726
